the_geom,OBJECTID,date no time,Month-num,Month,Helper,Year,Rainfall in mm,date_,country,nearest_pl,hazard_typ,landslide_,trigger,fatalities,injuries,location_a,landslide1,near,distance,State,,population,latitude,longitude
POINT (75.23820000000015 33.241200000000084),876,8/22/2012,8,Aug,Kashmir 2012,2012,264.9,08/22/2012 07:00:00 AM +0000,India,"Jammu-Sringar Hwy, between Sri and Ramban, kerala",landslide,Landslide,Downpour,0,0,Known_within_1_km,Medium,Ramban,0.11978,Kashmir,,44971,27.0998,93.6287
POINT (78.9829000000001 30.285300000000095),881,9/14/2012,9,Sep,Uttarakhand 2012,2012,220.6,09/14/2012 07:00:00 AM +0000,India,"Rudraprayag, Uttarakhand",landslide,Landslide,Downpour,19,0,Known_within_5_km,Very_large,Rudraprayag,0.09348,Uttarakhand,,6755,34.0876,74.0225
POINT (96.15090000000014 28.825400000000084),2,4/7/2013,4,Apr,Arunachal Pradesh 2013,2013,175.1,04/07/2013 07:00:00 AM +0000,India,"Dibang Valley, Arunachal Pradesh",landslide,Landslide,Rain,0,0,Unknown,Medium,Motuo,98.33608,Arunachal Pradesh,,6755,34.0887,74.0227
POINT (93.05150000000012 27.88370000000006),12,8/1/2013,8,Aug,Arunachal Pradesh 2013,2013,230.2,08/01/2013 07:00:00 AM +0000,India,"Polo River At Polosang, Arunachal Pradesh",landslide,Mudslide,Rain,0,0,Known_within_10_km,Medium,Douyu,58.34526,Arunachal Pradesh,,20553,33.334,75.7627
POINT (94.36190000000013 25.098500000000083),14,9/24/2013,9,Sep,Manipur 2013,2013,241.4,09/24/2013 07:00:00 AM +0000,India,"Ukhrul, Manipur",landslide,Landslide,Unknown,0,0,Known_within_5_km,Medium,Imphal,53.05172,Manipur,,5685,29.3987,79.4841
POINT (94.98290000000017 28.611000000000075),16,9/2/2013,9,Sep,Arunachal Pradesh 2013,2013,316.1,09/02/2013 07:00:00 AM +0000,India,"Gosang Village Under Jengging Circle, Arunachal Pradesh",landslide,Landslide,Downpour,0,0,Known_within_5_km,Large,Along,52.08889,Arunachal Pradesh,,58562,18.7591,73.3852
POINT (79.06660000000014 30.735100000000077),19,6/16/2013,6,Jun,Uttarakhand 2013,2013,488.9,06/16/2013 07:00:00 AM +0000,India,"Kedarnath (Hindu Shrine), Near Kedarnath Dome (Mountain), Uttarakhand",landslide,Debris_Flow,Downpour,5000,0,Known_within_1_km,Very_large,Papalkoti,48.96196,Uttarakhand,,43000,27.0875,88.4572
POINT (93.48700000000017 24.903700000000093),25,9/1/2013,9,Sep,Manipur 2013,2013,241.4,09/01/2013 07:00:00 AM +0000,India,"Tamenglong- Khongsang Road, Manipur",landslide,Mudslide,Continuous_rain,0,0,Known_within_15_km,Medium,Imphal,47.40742,Manipur,,12444,15.0296,74.0253
POINT (79.05440000000013 30.694500000000094),30,6/17/2013,6,Jun,Uttarakhand 2013,2013,488.9,06/17/2013 07:00:00 AM +0000,India,"Rambara District, Uttarakhand",landslide,Landslide,Downpour,13,0,Known_within_1_km,Large,Rudraprayag,45.94088,Uttarakhand,,16311,15.3826,73.9239
POINT (94.25000000000014 27.877600000000054),31,6/1/2013,6,Jun,Arunachal Pradesh 2013,2013,290,06/01/2013 07:00:00 AM +0000,India,Upper Subansiri,landslide,Landslide,Downpour,0,0,Known_within_50_km,Large,Basar,45.49031,Arunachal Pradesh,,7317,33.2609,75.244
POINT (93.50630000000015 24.982900000000054),32,9/1/2013,9,Sep,Assam 2013,2013,229.3,09/01/2013 07:00:00 AM +0000,India,"Tamenglong, Manipur",landslide,Mudslide,Continuous_rain,0,0,Known_within_5_km,Medium,Mahur,45.4148,Assam,,9106,33.0107,74.9397
POINT (93.49460000000013 24.992600000000063),39,5/12/2013,5,May,Assam 2013,2013,346.7,05/12/2013 07:00:00 AM +0000,India,"Khongsang, Tamenglong, Manipur,",landslide,Mudslide,Rain,0,0,Known_within_25_km,Medium,Mahur,43.86029,Assam,,37475,34.1482,77.5971
POINT (78.72480000000014 31.03430000000006),43,8/17/2013,8,Aug,Uttarakhand 2013,2013,359.4,08/17/2013 07:00:00 AM +0000,India,"Harsil, Uttarakhand",landslide,Landslide,Rain,0,0,Known_within_5_km,Medium,Uttarkashi,43.16422,Uttarakhand,,4668,29.33,80.1
POINT (93.43410000000016 24.762500000000067),45,8/17/2013,8,Aug,Assam 2013,2013,289.7,08/17/2013 07:00:00 AM +0000,India,The Imphal-Jiribam Section Of Nh-37 In Tamenglong District,landslide,Landslide,Continuous_rain,0,0,Known_within_10_km,Medium,Lakhipur,43.11128,Assam,,11248,9.8539,76.9468
POINT (94.04410000000017 25.318000000000065),55,8/9/2013,8,Aug,Nagaland 2013,2013,291.3,08/09/2013 07:00:00 AM +0000,India,"Senapati, Manipur",landslide,Landslide,Downpour,0,0,Known_within_50_km,Large,Kohima,40.08056,Nagaland,,6807,33.9337,74.9985
POINT (78.19960000000012 31.455100000000105),62,6/16/2013,6,Jun,Himachal Pradesh 2013,2013,233.6,06/16/2013 07:00:00 AM +0000,India,"Road To Sangla Valley, Near Kupa Village, Kinnaur District, Himachal Pradesh",landslide,Landslide,Rain,0,0,Known_within_15_km,Medium,Sarahan,39.02032,Himachal Pradesh,,899094,26.1965,91.763
POINT (80.23690000000012 30.071800000000085),68,7/19/2013,7,Jul,Uttarakhand 2013,2013,413.4,07/19/2013 07:00:00 AM +0000,India,"Munsyari Area, Pithoragarh, Uttarakhand",landslide,Landslide,Downpour,0,0,Known_within_5_km,Medium,Dharchula,36.94258,Uttarakhand,,30700,27.3425,88.6236
POINT (80.23860000000016 30.07120000000006),69,7/4/2013,7,Jul,Uttarakhand 2013,2013,413.4,07/04/2013 07:00:00 AM +0000,India,"Munsari Tehsil, Uttarakhand",landslide,Landslide,Continuous_rain,0,0,Unknown,Medium,Dharchula,36.77667,Uttarakhand,,20000,19.1287,72.8889
POINT (78.43840000000014 31.598600000000065),72,6/16/2013,6,Jun,Himachal Pradesh 2013,2013,233.6,06/16/2013 07:00:00 AM +0000,India,"Kinnaur District, Himachal Pradesh",landslide,Landslide,Downpour,4,0,Known_within_50_km,Medium,Diyag,36.09394,Himachal Pradesh,,9106,33.0097,74.9402
POINT (80.20100000000016 29.99640000000008),76,7/28/2013,7,Jul,Uttarakhand 2013,2013,413.4,07/28/2013 07:00:00 AM +0000,India,"Samkot Village Of Pithoragarhi, Uttarakhand",landslide,Mudslide,Downpour,1,0,Known_within_10_km,Small,Dharchula,34.92794,Uttarakhand,,6755,34.0901,74.0256
POINT (75.48320000000014 34.294600000000095),77,4/26/2013,4,Apr,Kashmir 2013,2013,47.4,04/26/2013 07:00:00 AM +0000,India,"Zojila, India (Srinagar-Kargil Road)",landslide,Mudslide,Rain,1,0,Known_within_5_km,Medium,Pahalgam,34.59631,Kashmir,,6755,34.09,74.0256
POINT (80.85760000000012 30.17190000000008),79,7/4/2013,7,Jul,Uttarakhand 2013,2013,413.4,07/04/2013 07:00:00 AM +0000,India,"Gunji, Uttarakhand",landslide,Landslide,Continuous_rain,0,0,Known_within_50_km,Medium,Burang,33.49872,Uttarakhand,,3278,33.4341,75.1923
POINT (94.18840000000014 25.3833000000001),80,8/15/2013,8,Aug,Nagaland 2013,2013,291.3,08/15/2013 07:00:00 AM +0000,India,"Koide Government High School, Senapati, Manipur",landslide,Landslide,Downpour,0,0,Known_within_5_km,Medium,Kohima,33.20312,Nagaland,,22654,22.479,92.967
POINT (78.06600000000012 31.082600000000102),81,8/18/2013,8,Aug,Himachal Pradesh 2013,2013,240,08/18/2013 07:00:00 AM +0000,India,"Nuranoo, Uttarkashi, Uttarakhand",landslide,Landslide,Unknown,0,0,Known_within_25_km,Medium,Rohru,32.73394,Himachal Pradesh,,5198,30.012,78.197
POINT (83.03940000000013 18.280700000000042),85,8/25/2013,8,Aug,Andhra Pradesh 2013,2013,230.6,08/25/2013 07:00:00 AM +0000,India,"Borra Caves, Andhra Pradesh",landslide,Rockfall,Other,0,0,Known_within_1_km,Small,Salar,31.43287,Andhra Pradesh,,17123,30.7467,78.4517
POINT (75.44660000000013 34.260100000000115),92,8/13/2013,8,Aug,Kashmir 2013,2013,219.1,08/13/2013 07:00:00 AM +0000,India,Zojila Pass,landslide,Landslide,Downpour,0,0,Known_within_50_km,Medium,Pahalgam,29.71015,Kashmir,,9421,15.323,73.974
